Name
"West, Mrs. Edwy Arthur (Ada Mary Worth)"
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)"
"Strandberg, Miss. Ida Sofia"
"Hirvonen, Miss. Hildur E"
"Turkula, Mrs. (Hedwig)"
"Lefebre, Miss. Jeannie"
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)"
"Eustis, Miss. Elizabeth Mussey"
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)"
"Canavan, Miss. Mary"
"O'Sullivan, Miss. Bridget Mary"
"Laitinen, Miss. Kristina Sofia"
"Maioni, Miss. Roberta"
"Quick, Mrs. Frederick Charles (Jane Richards)"
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)"
"Lemore, Mrs. (Amelia Milley)"
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)"
"Perreault, Miss. Anne"
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)"
"Ridsdale, Miss. Lucy"
"Quick, Miss. Phyllis May"
"Peter, Mrs. Catherine (Catherine Rizk)"
"Cacic, Miss. Marija"
"Hart, Miss. Eva Miriam"
"LeRoy, Miss. Bertha"
"Frolicher, Miss. Hedwig Margaritha"
"Crosby, Miss. Harriet R"
"Andersson, Miss. Ingeborg Constanzia"
"Andersson, Miss. Sigrid Elisabeth"
"Beane, Mrs. Edward (Ethel Clarke)"
"Ohman, Miss. Velin"
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")"
"Taussig, Mrs. Emil (Tillie Mandelbaum)"
"de Messemaeker, Mrs. Guillaume Joseph (Emma)"
"Meanwell, Miss. (Marion Ogden)"
"Palsson, Mrs. Nils (Alma Cornelia Berglund)"
"Appleton, Mrs. Edward Dale (Charlotte Lamson)"
"Kelly, Miss. Mary"
"Garside, Miss. Ethel"
"Silvey, Mrs. William Baird (Alice Munger)"
"Caram, Mrs. Joseph (Maria Elias)"
"Christy, Miss. Julie Rachel"
"Thayer, Mrs. John Borland (Marian Longstreth Morris)"
"Taussig, Miss. Ruth"
"Stephenson, Mrs. Walter Bertram (Martha Eustis)"
"Bourke, Miss. Mary"
"Leitch, Miss. Jessie Wills"
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)"
"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)"
"Shutes, Miss. Elizabeth W"
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)"
"Murphy, Miss. Margaret Jane"
"Herman, Miss. Alice"
"Lobb, Mrs. William Arthur (Cordelia K Stanlick)"
"Becker, Miss. Marion Louise"
"Longley, Miss. Gretchen Fiske"
"Skoog, Miss. Mabel"
"Davis, Miss. Mary"
"Panula, Mrs. Juha (Maria Emilia Ojala)"
"Sagesser, Mlle. Emma"
"Skoog, Miss. Margit Elizabeth"
"Baclini, Miss. Eugenie"
"Stanley, Miss. Amy Zillah Elsie"
"Doling, Miss. Elsie"
"O'Leary, Miss. Hanora ""Norah"""
"Hegarty, Miss. Hanora ""Nora"""
"Bourke, Mrs. John (Catherine)"
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)"
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)"
"Turja, Miss. Anna Sofia"
"Goodwin, Mrs. Frederick (Augusta Tyler)"
"Peters, Miss. Katie"
"Madill, Miss. Georgette Alexandra"
"Karun, Miss. Manca"
"Mullens, Miss. Katherine ""Katie"""
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)"
"Barbara, Miss. Saiide"
"Kelly, Mrs. Florence ""Fannie"""
"Cleaver, Miss. Alice"
"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")"
"Endres, Miss. Caroline Louise"
"Troutt, Miss. Edwina Celia ""Winnie"""
"Harper, Miss. Annie Jessie ""Nina"""
"Renouf, Mrs. Peter Henry (Lillian Jefferys)"
"Mannion, Miss. Margareth"
"Ilmakangas, Miss. Pieta Sofia"
"Allen, Miss. Elisabeth Walton"
"Ford, Mrs. Edward (Margaret Ann Watson)"
"Ryerson, Miss. Susan Parker ""Suzette"""
"Sinkkonen, Miss. Anna"
"Wells, Miss. Joan"
"Herman, Mrs. Samuel (Jane Laver)"
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)"
"Carter, Mrs. William Ernest (Lucile Polk)"
"Hogeboom, Mrs. John C (Anna Andrews)"
"Mangan, Miss. Mary"
"Mack, Mrs. (Mary)"
"Hocking, Mrs. Elizabeth (Eliza Needs)"
"Emanuel, Miss. Virginia Ethel"
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)"
"Ayoub, Miss. Banoura"
"Dick, Mrs. Albert Adrian (Vera Gillespie)"
"Sjoblom, Miss. Anna Sofia"
"Sage, Miss. Stella Anna"
"Leader, Dr. Alice (Farnham)"
"Osman, Mrs. Mara"
"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)"
"Collyer, Mrs. Harvey (Charlotte Annie Tate)"
"Pettersson, Miss. Ellen Natalia"
"Chambers, Mrs. Norman Campbell (Bertha Griggs)"
"Andersson, Miss. Ebba Iris Alfrida"
"Heininen, Miss. Wendla Maria"
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)"
"Moor, Mrs. (Beila)"
"Stone, Mrs. George Nelson (Martha Evelyn)"
"Yasbeck, Mrs. Antoni (Selini Alexander)"
"Compton, Miss. Sara Rebecca"
"Serepeca, Miss. Augusta"
"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)"
"Boulos, Miss. Nourelain"
"Lines, Miss. Mary Conover"
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)"
"Aks, Mrs. Sam (Leah Rosen)"
"Wick, Mrs. George Dennick (Mary Hitchcock)"
"Baclini, Mrs. Solomon (Latifa Qurban)"
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)"
"Sage, Miss. Dorothy Edith ""Dolly"""
"Bystrom, Mrs. (Karolina)"
"Duran y More, Miss. Asuncion"
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)"
"Abelson, Mrs. Samuel (Hannah Wizosky)"
"Najib, Miss. Adele Kiamie ""Jane"""
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)"
"Shelley, Mrs. William (Imanita Parrish Hall)"
"Dahlberg, Miss. Gerda Ulrika"
"Rice, Mrs. William (Margaret Norton)"
"Graham, Miss. Margaret Edith"
"Johnston, Miss. Catherine Helen ""Carrie"""
